	MNase_Overlap_5read1-SHIFT80_combined.cdt
Nuc-575632-chr1_228458099_228458263_stddev=18.49540483471503	109.0
Nuc-584932-chr1_231161944_231162108_stddev=19.83631240782491	4.0
Nuc-585626-chr1_231337838_231338002_stddev=7.214539956009634	12.0
Nuc-586704-chr1_231626680_231626844_stddev=17.0497570327566	4.0
Nuc-589364-chr1_232805416_232805580_stddev=19.922552378610117	12.0
Nuc-84755-chr1_23531060_23531224_stddev=16.084466393747654	20.0
Nuc-600861-chr1_236281804_236281968_stddev=24.325089927891327	4.0
Nuc-601295-chr1_236395325_236395489_stddev=18.459226840676603	6.0
Nuc-85885-chr1_23791185_23791349_stddev=12.33832950605551	4.0
Nuc-608385-chr1_241519556_241519720_stddev=19.28583245113711	1.0
Nuc-609701-chr1_241848215_241848379_stddev=23.62427937448503	51.0
Nuc-88312-chr1_24413546_24413710_stddev=23.51812218281717	31.0
Nuc-88668-chr1_24502378_24502542_stddev=20.53779492565264	39.0
Nuc-89221-chr1_24643296_24643460_stddev=14.625092592299486	19.0
Nuc-622330-chr1_246566529_246566693_stddev=13.98282818351405	10.0
Nuc-625608-chr1_247530809_247530973_stddev=11.286618408630677	5.0
Nuc-627343-chr1_248838225_248838389_stddev=18.553425339724594	4.0
Nuc-91562-chr1_25247297_25247461_stddev=19.87088500811972	55.0
Nuc-9005-chr1_2526441_2526605_stddev=24.956762610563093	3.0
Nuc-92320-chr1_25430323_25430487_stddev=21.553666825698546	48.0
Nuc-92801-chr1_25543632_25543796_stddev=18.05239288540134	0.0
Nuc-9208-chr1_2585888_2586052_stddev=19.853786528170712	26.0
Nuc-95472-chr1_26169936_26170100_stddev=16.496547962363405	16.0
Nuc-96744-chr1_26472472_26472636_stddev=13.02273763468074	18.0
Nuc-98943-chr1_26993644_26993808_stddev=23.955253425223173	4.0
Nuc-104169-chr1_28236146_28236310_stddev=23.69030960605558	45.0
Nuc-107973-chr1_29124488_29124652_stddev=17.073179556440813	9.0
Nuc-115610-chr1_31297034_31297198_stddev=19.440034222077788	71.0
Nuc-116940-chr1_31644455_31644619_stddev=21.477016138705633	75.0
Nuc-119690-chr1_32292116_32292280_stddev=27.154602721814804	5.0
Nuc-124280-chr1_33472604_33472768_stddev=21.207493615869087	28.0
Nuc-128481-chr1_34985159_34985323_stddev=17.177181245930765	2.0
Nuc-128646-chr1_35031525_35031689_stddev=22.139080579122723	174.0
Nuc-132160-chr1_35931183_35931347_stddev=16.734860488081626	2.0
Nuc-133054-chr1_36156156_36156320_stddev=23.26955569455984	0.0
Nuc-12074-chr1_3625015_3625179_stddev=11.455226851626387	0.0
Nuc-12167-chr1_3652219_3652383_stddev=17.559071377903816	0.0
Nuc-12534-chr1_3746372_3746536_stddev=26.236022733807978	176.0
Nuc-138028-chr1_37514588_37514752_stddev=24.819222422406643	0.0
Nuc-12650-chr1_3772732_3772896_stddev=14.352700094407323	0.0
Nuc-146064-chr1_39576648_39576812_stddev=6.525590650150631	10.0
Nuc-147572-chr1_39955128_39955292_stddev=22.24045312267807	26.0
Nuc-149248-chr1_40373741_40373905_stddev=18.763624383364746	5.0
Nuc-150262-chr1_40665551_40665715_stddev=9.256889326334198	0.0
Nuc-151110-chr1_40862209_40862373_stddev=20.60679499582601	0.0
Nuc-156613-chr1_42456329_42456493_stddev=24.48666859283864	113.0
Nuc-157797-chr1_42817127_42817291_stddev=20.4425438730115	38.0
Nuc-158361-chr1_42958727_42958891_stddev=18.16018688073591	6.0
Nuc-160257-chr1_43453886_43454050_stddev=19.069251784911845	36.0
Nuc-162370-chr1_43991817_43991981_stddev=14.49307364479562	9.0
Nuc-166297-chr1_44986527_44986691_stddev=9.70681318570736	14.0
Nuc-166396-chr1_45011147_45011311_stddev=23.897741332944552	1.0
Nuc-167569-chr1_45340206_45340370_stddev=20.0803963690735	80.0
Nuc-168241-chr1_45500259_45500423_stddev=20.003187246036568	50.0
Nuc-168479-chr1_45550838_45551002_stddev=20.05802241095938	137.0
Nuc-169062-chr1_45687346_45687510_stddev=16.490548764476674	293.0
Nuc-170841-chr1_46132472_46132636_stddev=17.31088289679838	37.0
Nuc-171158-chr1_46203327_46203491_stddev=17.108244840499896	11.0
Nuc-171336-chr1_46247629_46247793_stddev=13.540566412654611	26.0
Nuc-171727-chr1_46340781_46340945_stddev=24.467480384622405	89.0
Nuc-172909-chr1_46616549_46616713_stddev=16.356267911721183	7.0
Nuc-173115-chr1_46667968_46668132_stddev=17.508727982225196	7.0
Nuc-178618-chr1_48472082_48472246_stddev=27.419072842741336	0.0
Nuc-181450-chr1_50423446_50423610_stddev=16.275407487644937	53.0
Nuc-183449-chr1_50959995_50960159_stddev=18.290178026604824	7.0
Nuc-185621-chr1_51519059_51519223_stddev=18.790066764025607	11.0
Nuc-187718-chr1_52033227_52033391_stddev=25.646130459806926	43.0
Nuc-187814-chr1_52055285_52055449_stddev=15.29261081628089	74.0
Nuc-189027-chr1_52365985_52366149_stddev=25.903667693977237	0.0
Nuc-189173-chr1_52404253_52404417_stddev=16.46710768542957	127.0
Nuc-189734-chr1_52552937_52553101_stddev=19.715256986016982	1.0
Nuc-192356-chr1_53196798_53196962_stddev=20.10482732163231	7.0
Nuc-193375-chr1_53460322_53460486_stddev=19.344207068459486	22.0
Nuc-194769-chr1_53838136_53838300_stddev=20.164753505823406	5.0
Nuc-197700-chr1_54542472_54542636_stddev=17.440999361533137	56.0
Nuc-198544-chr1_54764342_54764506_stddev=22.975261545412813	41.0
Nuc-207920-chr1_59297045_59297209_stddev=18.07224024151236	95.0
Nuc-19350-chr1_6127624_6127788_stddev=18.68748838721304	79.0
Nuc-215009-chr1_62437046_62437210_stddev=23.377023058990886	10.0
Nuc-218045-chr1_63775022_63775186_stddev=25.558755838264116	49.0
Nuc-20464-chr1_6393223_6393387_stddev=21.606272814410815	1.0
Nuc-222513-chr1_65525600_65525764_stddev=13.163736195217677	2.0
Nuc-21426-chr1_6613782_6613946_stddev=18.806979537896108	0.0
Nuc-21472-chr1_6625182_6625346_stddev=25.564050171227265	1.0
Nuc-229787-chr1_68496912_68497076_stddev=8.130114724411875	48.0
Nuc-237452-chr1_75724753_75724917_stddev=12.82636174273732	68.0
Nuc-240497-chr1_77682544_77682708_stddev=16.946607330082326	52.0
Nuc-248668-chr1_85577187_85577351_stddev=11.207794192513623	4.0
Nuc-250414-chr1_86704597_86704761_stddev=21.894841471108727	6.0
Nuc-251094-chr1_86914709_86914873_stddev=26.75892374517331	14.0
Nuc-254644-chr1_88891411_88891575_stddev=22.257801378892353	13.0
Nuc-254931-chr1_88992597_88992761_stddev=13.399834161494521	28.0
Nuc-254931-chr1_88992597_88992761_stddev=13.399834161494521	28.0
Nuc-256416-chr1_89633390_89633554_stddev=28.922136850516424	9.0
Nuc-257126-chr1_89820966_89821130_stddev=14.42948370524739	1.0
Nuc-263090-chr1_92080330_92080494_stddev=18.075795279876345	44.0
Nuc-268337-chr1_93846645_93846809_stddev=17.56238878968348	0.0
Nuc-3006-chr1_960603_960767_stddev=11.547005383792516	0.0
Nuc-272817-chr1_96721782_96721946_stddev=22.9599003654935	21.0
Nuc-275923-chr1_99850078_99850242_stddev=12.622730819174325	2.0
Nuc-848067-chr10_100065125_100065289_stddev=18.067824467592537	91.0
Nuc-852106-chr10_101830422_101830586_stddev=9.0934788736045	47.0
Nuc-853435-chr10_102461426_102461590_stddev=21.59824935035245	10.0
Nuc-854210-chr10_102713800_102713964_stddev=23.396277534452693	41.0
Nuc-630393-chr10_1056261_1056425_stddev=22.582447656282973	15.0
Nuc-860735-chr10_109923323_109923487_stddev=24.54057864028475	0.0
Nuc-863268-chr10_110871926_110872090_stddev=24.23037579384833	5.0
Nuc-863382-chr10_110918747_110918911_stddev=20.20055692301576	33.0
Nuc-866870-chr10_113855185_113855349_stddev=18.257418583505537	21.0
Nuc-868926-chr10_116670075_116670239_stddev=15.907898179514348	7.0
Nuc-873951-chr10_119542570_119542734_stddev=24.272265183597042	1.0
Nuc-878411-chr10_122954153_122954317_stddev=16.046319671501003	4.0
Nuc-878737-chr10_123135633_123135797_stddev=20.446406910642164	5.0
Nuc-878766-chr10_123154388_123154552_stddev=20.856164360608947	9.0
Nuc-655205-chr10_12349495_12349659_stddev=23.662998542027594	0.0
Nuc-882184-chr10_125160881_125161045_stddev=10.6758793548822	19.0
Nuc-883309-chr10_125895842_125896006_stddev=20.976570952508414	16.0
Nuc-883310-chr10_125896472_125896636_stddev=10.525058646113676	13.0
Nuc-656912-chr10_13099830_13099994_stddev=16.547511990061363	26.0
Nuc-890031-chr10_132331682_132331846_stddev=16.237815945091466	21.0
Nuc-657548-chr10_13302216_13302380_stddev=19.687695952061695	64.0
Nuc-892415-chr10_133520371_133520535_stddev=18.571184369578827	29.0
Nuc-658405-chr10_13586957_13587121_stddev=19.355590636528994	52.0
Nuc-661291-chr10_14837859_14838023_stddev=17.240850140878983	30.0
Nuc-662035-chr10_15088657_15088821_stddev=16.509256662719725	4.0
Nuc-662294-chr10_15168464_15168628_stddev=16.939502518141733	2.0
Nuc-668987-chr10_17644236_17644400_stddev=15.916230360512156	75.0
Nuc-671187-chr10_18659411_18659575_stddev=21.34683817336891	12.0
Nuc-671961-chr10_19816360_19816524_stddev=12.26580612923586	18.0
Nuc-674395-chr10_21497246_21497410_stddev=16.438437341250605	15.0
Nuc-674532-chr10_21534284_21534448_stddev=14.512386950464077	1.0
Nuc-689011-chr10_27742725_27742889_stddev=20.987853630135696	1.0
Nuc-695310-chr10_30349128_30349292_stddev=21.802548271041875	110.0
Nuc-706654-chr10_35127141_35127305_stddev=17.60565771771874	2.0
Nuc-636024-chr10_3785054_3785218_stddev=18.75499933351105	13.0
Nuc-710637-chr10_37857962_37858126_stddev=22.005665349614503	12.0
Nuc-719072-chr10_43105700_43105864_stddev=21.07721255026122	64.0
Nuc-720750-chr10_43574421_43574585_stddev=14.457119707926177	7.0
Nuc-638325-chr10_4826086_4826250_stddev=19.31672338853398	33.0
Nuc-745263-chr10_50739882_50740046_stddev=14.64179709674404	21.0
Nuc-641070-chr10_5684804_5684968_stddev=7.831560082980487	5.0
Nuc-754205-chr10_59709751_59709915_stddev=10.699525930529424	15.0
Nuc-772469-chr10_68075094_68075258_stddev=19.303827472862494	16.0
Nuc-775812-chr10_68956170_68956334_stddev=14.43614156485958	27.0
Nuc-781529-chr10_70478423_70478587_stddev=11.096796334478203	1.0
Nuc-787523-chr10_71964194_71964358_stddev=16.545142354697045	3.0
Nuc-792355-chr10_73167856_73168020_stddev=15.417383065924978	131.0
Nuc-794145-chr10_73625356_73625520_stddev=23.25100804266344	79.0
Nuc-794765-chr10_73772285_73772449_stddev=17.146314290540694	13.0
Nuc-798859-chr10_74826604_74826768_stddev=19.591751700495738	7.0
Nuc-820573-chr10_84139419_84139583_stddev=14.918296000400165	5.0
Nuc-826777-chr10_87094698_87094862_stddev=15.484686312744008	3.0
Nuc-828530-chr10_87818033_87818197_stddev=17.167829653162336	54.0
Nuc-829530-chr10_88991174_88991338_stddev=13.533551817368137	11.0
Nuc-832417-chr10_91632907_91633071_stddev=12.43203746598101	28.0
Nuc-833644-chr10_92290843_92291007_stddev=20.60726279199626	28.0
Nuc-834274-chr10_92573892_92574056_stddev=14.974942032905803	11.0
Nuc-834327-chr10_92593117_92593281_stddev=21.389924938832507	17.0
Nuc-839487-chr10_95656577_95656741_stddev=18.551549800488367	8.0
Nuc-842697-chr10_97292438_97292602_stddev=24.21540423922623	25.0
Nuc-1099478-chr11_101128103_101128267_stddev=16.014653783409404	2.0
Nuc-1100237-chr11_102110399_102110563_stddev=19.79688527689815	20.0
Nuc-1100658-chr11_102317452_102317616_stddev=20.536703066449252	88.0
Nuc-1101093-chr11_102452938_102453102_stddev=22.960452912762495	58.0
Nuc-1102222-chr11_103091939_103092103_stddev=26.148200608487926	6.0
Nuc-1103837-chr11_106022073_106022237_stddev=23.89980370806318	31.0
Nuc-1111292-chr11_110092732_110092896_stddev=9.95009771029634	5.0
Nuc-1113650-chr11_111512495_111512659_stddev=23.79542439676633	25.0
Nuc-1114845-chr11_111879284_111879448_stddev=19.751813139253024	253.0
Nuc-1115516-chr11_112074312_112074476_stddev=17.862709449825605	66.0
Nuc-1129443-chr11_117876519_117876683_stddev=9.363047936792093	7.0
Nuc-1134098-chr11_119149007_119149171_stddev=24.02024608995966	5.0
Nuc-1134336-chr11_119206341_119206505_stddev=12.496032428186195	3.0
Nuc-1139544-chr11_121023996_121024160_stddev=18.713297411199342	11.0
Nuc-1139544-chr11_121023996_121024160_stddev=18.713297411199342	11.0
Nuc-1146665-chr11_124954184_124954348_stddev=14.573520508099612	92.0
Nuc-1147096-chr11_125111477_125111641_stddev=16.319586051395078	40.0
Nuc-1149382-chr11_125887605_125887769_stddev=21.198681162869132	5.0
Nuc-939895-chr11_17351717_17351881_stddev=23.32678479535679	37.0
Nuc-941745-chr11_18012794_18012958_stddev=19.34190722240183	1.0
Nuc-898587-chr11_2270041_2270205_stddev=10.263202878893768	3.0
Nuc-954173-chr11_28110275_28110439_stddev=18.172017560585346	65.0
Nuc-900392-chr11_2902515_2902679_stddev=16.405525722701697	4.0
Nuc-955768-chr11_30323152_30323316_stddev=12.358369226594116	34.0
Nuc-957733-chr11_31811306_31811470_stddev=17.92344832893492	20.0
Nuc-960734-chr11_33039550_33039714_stddev=14.315595973924475	4.0
Nuc-901744-chr11_3378987_3379151_stddev=20.688825486237732	13.0
Nuc-967270-chr11_35139094_35139258_stddev=15.849991237291656	18.0
Nuc-968356-chr11_35618352_35618516_stddev=14.901328356118443	0.0
Nuc-902671-chr11_3642290_3642454_stddev=13.620603266130813	26.0
Nuc-894106-chr11_394225_394389_stddev=19.37698262427104	4.0
Nuc-977438-chr11_44066278_44066442_stddev=17.536774547745704	48.0
Nuc-988537-chr11_47378332_47378496_stddev=22.0938654130256	40.0
Nuc-988722-chr11_47426120_47426284_stddev=20.027715171731398	37.0
Nuc-894492-chr11_537483_537647_stddev=16.72572868367773	9.0
Nuc-894543-chr11_560570_560734_stddev=17.03298121233015	4.0
Nuc-998898-chr11_57460483_57460647_stddev=20.54909501954889	12.0
Nuc-999116-chr11_57515549_57515713_stddev=13.173173705620504	19.0
Nuc-999686-chr11_57668110_57668274_stddev=14.330387294138285	10.0
Nuc-999850-chr11_57712084_57712248_stddev=12.234880779652398	6.0
Nuc-1001494-chr11_58578727_58578891_stddev=23.79656790360597	44.0
Nuc-1002729-chr11_59142742_59142906_stddev=22.002392214436473	23.0
Nuc-1006204-chr11_60515364_60515528_stddev=13.994167881438235	89.0
Nuc-1007188-chr11_60914155_60914319_stddev=15.587042129696743	13.0
Nuc-1008810-chr11_61392535_61392699_stddev=25.42723694580724	5.0
Nuc-894673-chr11_615807_615971_stddev=14.395637359978195	3.0
Nuc-1013349-chr11_62621838_62622002_stddev=10.67910990812212	0.0
Nuc-1013557-chr11_62672128_62672292_stddev=20.13036027890901	58.0
Nuc-1013697-chr11_62706663_62706827_stddev=21.367788842086583	176.0
Nuc-1013777-chr11_62727019_62727183_stddev=13.74081210683604	0.0
Nuc-1014172-chr11_62831517_62831681_stddev=22.25007289751287	54.0
Nuc-1016230-chr11_63614280_63614444_stddev=20.640009689920205	9.0
Nuc-1017444-chr11_63938993_63939157_stddev=12.71350211761789	5.0
Nuc-1018323-chr11_64165955_64166119_stddev=21.17923511366735	10.0
Nuc-1018563-chr11_64230543_64230707_stddev=13.989367152958371	45.0
Nuc-1020460-chr11_64745642_64745806_stddev=19.158841940205985	39.0
Nuc-1020837-chr11_64844552_64844716_stddev=27.098585448936877	0.0
Nuc-1021516-chr11_65014145_65014309_stddev=20.299146861920068	26.0
Nuc-1021517-chr11_65014396_65014560_stddev=25.88116517361229	0.0
Nuc-1021850-chr11_65096226_65096390_stddev=26.217539453579544	15.0
Nuc-1022187-chr11_65181274_65181438_stddev=29.296513688248204	0.0
Nuc-1023615-chr11_65546499_65546663_stddev=12.532164652784266	26.0
Nuc-1024742-chr11_65859640_65859804_stddev=13.772940047463376	66.0
Nuc-1026306-chr11_66268630_66268794_stddev=17.97719522497756	5.0
Nuc-1027397-chr11_66568439_66568603_stddev=14.963902143055426	1.0
Nuc-1027484-chr11_66592886_66593050_stddev=23.875719884434897	41.0
Nuc-1030412-chr11_67373631_67373795_stddev=14.311405470135078	3.0
Nuc-1035592-chr11_68840906_68841070_stddev=5.150787536377128	0.0
Nuc-1036261-chr11_69048841_69049005_stddev=22.59848132120146	3.0
Nuc-1038226-chr11_69675177_69675341_stddev=14.333962443750261	9.0
Nuc-912377-chr11_7019968_7020132_stddev=29.238483012784517	56.0
Nuc-1039789-chr11_70203284_70203448_stddev=26.506791582535975	2.0
Nuc-894954-chr11_726362_726526_stddev=13.573871960498227	6.0
Nuc-1050688-chr11_73787885_73788049_stddev=19.82503811108216	79.0
Nuc-1052084-chr11_74170816_74170980_stddev=19.563457999262013	13.0
Nuc-1052736-chr11_74398254_74398418_stddev=14.633536572662072	44.0
Nuc-895043-chr11_747454_747618_stddev=21.387085061022397	7.0
Nuc-1055566-chr11_75241314_75241478_stddev=9.363047936792093	1.0
Nuc-1065437-chr11_78188871_78189035_stddev=17.04773609962475	25.0
Nuc-895302-chr11_809936_810100_stddev=19.75685535031659	0.0
Nuc-895439-chr11_842905_843069_stddev=9.40744386111339	0.0
Nuc-1074070-chr11_85628184_85628348_stddev=13.490480182541893	73.0
Nuc-1074645-chr11_85855094_85855258_stddev=22.221111083331945	22.0
Nuc-1080101-chr11_88175279_88175443_stddev=24.12614776372639	53.0
Nuc-917485-chr11_9314538_9314702_stddev=7.668478046884894	23.0
Nuc-1086439-chr11_93741329_93741493_stddev=13.66434358885511	38.0
Nuc-1086777-chr11_93850483_93850647_stddev=23.122499864850255	30.0
Nuc-1090031-chr11_95067031_95067195_stddev=21.326966642559356	3.0
Nuc-1097776-chr11_99020906_99021070_stddev=20.833166665999993	41.0
Nuc-1338715-chr12_100267323_100267487_stddev=13.723459233492601	5.0
Nuc-1344510-chr12_102917312_102917476_stddev=19.854358603479376	33.0
Nuc-1347128-chr12_104287019_104287183_stddev=14.351807377469918	54.0
Nuc-1347676-chr12_104456893_104457057_stddev=25.465117753943773	6.0
Nuc-1352324-chr12_106303281_106303445_stddev=12.01850425154663	20.0
Nuc-1184209-chr12_10674094_10674258_stddev=21.470718095517675	47.0
Nuc-1364351-chr12_110403522_110403686_stddev=13.554252964936872	69.0
Nuc-1364602-chr12_110468747_110468911_stddev=20.918387781289958	6.0
Nuc-1364724-chr12_110502271_110502435_stddev=20.076978511782368	65.0
Nuc-1365601-chr12_110742742_110742906_stddev=22.528993664954402	3.0
Nuc-1383688-chr12_116910974_116911138_stddev=19.995407636020133	3.0
Nuc-1386866-chr12_118135851_118136015_stddev=14.635081140875167	57.0
Nuc-1387651-chr12_118376554_118376718_stddev=17.58661106890378	0.0
Nuc-1390365-chr12_119667995_119668159_stddev=13.344072549702366	32.0
Nuc-1397107-chr12_121580387_121580551_stddev=21.879999428702003	4.0
Nuc-1399527-chr12_122203707_122203871_stddev=19.076883917453603	1.0
