	BNase_NoOverlap_midpoint_combined.cdt
Nuc-9114-chr1_2556563_2556727_stddev=21.392350339811294	115.0
Nuc-94695-chr1_25997847_25998011_stddev=22.053556969341702	143.0
Nuc-94999-chr1_26066949_26067113_stddev=18.037482443218547	127.0
Nuc-95469-chr1_26169272_26169436_stddev=17.768333287623495	195.0
Nuc-95511-chr1_26178328_26178492_stddev=20.105176255007017	156.0
Nuc-95559-chr1_26190496_26190660_stddev=29.540096207538276	67.0
Nuc-96344-chr1_26375187_26375351_stddev=18.273721265491844	117.0
Nuc-98389-chr1_26863130_26863294_stddev=22.36046343843085	288.0
Nuc-100411-chr1_27341922_27342086_stddev=17.048949136725895	49.0
Nuc-104000-chr1_28194871_28195035_stddev=8.750510189207745	60.0
Nuc-105334-chr1_28506027_28506191_stddev=8.156022931501088	85.0
Nuc-113211-chr1_30719158_30719322_stddev=20.905665068490954	245.0
Nuc-113375-chr1_30757635_30757799_stddev=22.141188365176387	145.0
Nuc-115164-chr1_31182267_31182431_stddev=14.102414657552576	103.0
Nuc-115918-chr1_31373632_31373796_stddev=12.603570922560003	85.0
Nuc-119292-chr1_32201712_32201876_stddev=20.88057144545831	213.0
Nuc-119322-chr1_32209633_32209797_stddev=17.929851974758037	113.0
Nuc-119499-chr1_32247320_32247484_stddev=12.757418843057167	234.0
Nuc-119515-chr1_32250964_32251128_stddev=18.97191392573612	127.0
Nuc-123733-chr1_33321675_33321839_stddev=18.98642607232862	40.0
Nuc-132775-chr1_36087324_36087488_stddev=22.703485984801297	132.0
Nuc-134298-chr1_36441112_36441276_stddev=11.764699879950452	108.0
Nuc-134490-chr1_36482897_36483061_stddev=13.826687381676685	227.0
Nuc-157484-chr1_42740109_42740273_stddev=18.41119828317055	57.0
Nuc-157674-chr1_42784796_42784960_stddev=25.475236099415994	52.0
Nuc-159538-chr1_43270862_43271026_stddev=19.907812226719464	61.0
Nuc-159729-chr1_43318115_43318279_stddev=21.876547564305785	50.0
Nuc-160732-chr1_43582440_43582604_stddev=18.472847472709777	78.0
Nuc-162535-chr1_44031386_44031550_stddev=18.708030361318105	141.0
Nuc-165575-chr1_44807264_44807428_stddev=18.732028424302822	200.0
Nuc-168794-chr1_45624039_45624203_stddev=21.341248531632093	88.0
Nuc-169065-chr1_45687902_45688066_stddev=18.937062009475753	278.0
Nuc-171027-chr1_46174713_46174877_stddev=19.45364861521983	92.0
Nuc-172000-chr1_46406623_46406787_stddev=20.496950992769634	101.0
Nuc-172440-chr1_46507602_46507766_stddev=17.60981544480237	159.0
Nuc-172605-chr1_46544835_46544999_stddev=23.024497822971085	143.0
Nuc-174814-chr1_47191581_47191745_stddev=14.12340962490617	146.0
Nuc-191939-chr1_53090837_53091001_stddev=19.57574715159577	118.0
Nuc-196249-chr1_54199846_54200010_stddev=17.000454634754544	195.0
Nuc-199332-chr1_54998872_54999036_stddev=23.400389554289838	127.0
Nuc-202066-chr1_56511261_56511425_stddev=18.151859408887013	52.0
Nuc-202086-chr1_56516851_56517015_stddev=27.551340963533676	85.0
Nuc-205644-chr1_58577653_58577817_stddev=21.090669181669227	83.0
Nuc-205968-chr1_58699906_58700070_stddev=28.677686835277044	101.0
Nuc-19642-chr1_6197835_6197999_stddev=16.698802352264668	72.0
Nuc-21008-chr1_6520723_6520887_stddev=21.653545507788124	70.0
Nuc-226012-chr1_67126159_67126323_stddev=25.26306042866189	73.0
Nuc-240805-chr1_77779611_77779775_stddev=18.94621818921838	71.0
Nuc-25997-chr1_7940698_7940862_stddev=23.07479752872678	50.0
Nuc-247480-chr1_85062299_85062463_stddev=13.782732632568246	101.0
Nuc-251386-chr1_86991863_86992027_stddev=17.760630619434657	90.0
Nuc-255013-chr1_89022665_89022829_stddev=16.501212076693033	52.0
Nuc-255367-chr1_89198816_89198980_stddev=17.281171513786006	60.0
Nuc-275623-chr1_99766424_99766588_stddev=13.575791396061769	241.0
Nuc-849914-chr10_100969259_100969423_stddev=10.027123709047537	58.0
Nuc-850129-chr10_101032702_101032866_stddev=20.325915899237042	63.0
Nuc-851959-chr10_101780238_101780402_stddev=22.28165663100978	34.0
Nuc-854638-chr10_102837832_102837996_stddev=23.243063481391605	52.0
Nuc-854712-chr10_102869106_102869270_stddev=15.329044061412791	40.0
Nuc-856282-chr10_103554312_103554476_stddev=14.966629547095765	45.0
Nuc-651232-chr10_11165180_11165344_stddev=15.350972078340837	74.0
Nuc-865479-chr10_112950697_112950861_stddev=10.901376059929314	49.0
Nuc-866659-chr10_113719116_113719280_stddev=20.141337328681907	46.0
Nuc-884845-chr10_128047454_128047618_stddev=23.27914017628097	44.0
Nuc-658521-chr10_13629496_13629660_stddev=9.539392014169456	43.0
Nuc-677363-chr10_22391661_22391825_stddev=15.49516053482506	108.0
Nuc-683616-chr10_25062403_25062567_stddev=22.392686260455303	214.0
Nuc-719418-chr10_43203667_43203831_stddev=16.647205362065492	495.0
Nuc-727488-chr10_45854510_45854674_stddev=5.732704887349757	89.0
Nuc-732983-chr10_47322446_47322610_stddev=15.801379488829449	101.0
Nuc-733609-chr10_47483980_47484144_stddev=6.279498289308797	56.0
Nuc-739494-chr10_49188235_49188399_stddev=21.697823751601348	217.0
Nuc-742298-chr10_49982529_49982693_stddev=25.987651388522167	87.0
Nuc-638926-chr10_5003700_5003864_stddev=20.15985098746354	170.0
Nuc-639201-chr10_5094309_5094473_stddev=16.489053608042184	38.0
Nuc-759657-chr10_61453379_61453543_stddev=20.913925749352586	72.0
Nuc-776896-chr10_69219585_69219749_stddev=20.961985695316592	95.0
Nuc-780190-chr10_70146942_70147106_stddev=20.192053096811698	60.0
Nuc-788045-chr10_72089310_72089474_stddev=7.687785169756407	45.0
Nuc-793062-chr10_73358160_73358324_stddev=16.09347693943108	58.0
Nuc-793362-chr10_73434069_73434233_stddev=15.393644328562543	82.0
Nuc-794214-chr10_73641812_73641976_stddev=23.157005712748074	94.0
Nuc-794259-chr10_73651560_73651724_stddev=20.38841582860228	103.0
Nuc-794462-chr10_73697868_73698032_stddev=11.410326706784321	65.0
Nuc-794891-chr10_73802947_73803111_stddev=13.89868892086618	86.0
Nuc-646958-chr10_7619514_7619678_stddev=20.032612299836373	67.0
Nuc-815650-chr10_80357599_80357763_stddev=23.127530198039405	79.0
Nuc-816368-chr10_80537742_80537906_stddev=13.692049599027246	65.0
Nuc-825598-chr10_86654566_86654730_stddev=20.8512711891645	52.0
Nuc-826397-chr10_86954127_86954291_stddev=20.808735190001634	83.0
Nuc-828598-chr10_87863569_87863733_stddev=21.047193993499466	56.0
Nuc-829823-chr10_89327863_89328027_stddev=21.62303298696914	117.0
Nuc-829977-chr10_89392627_89392791_stddev=20.79526163755567	78.0
Nuc-831932-chr10_91409538_91409702_stddev=17.299286289394978	84.0
Nuc-839687-chr10_95755596_95755760_stddev=22.064992756070502	68.0
Nuc-843548-chr10_97584241_97584405_stddev=23.800949710055512	72.0
Nuc-1103085-chr11_104968426_104968590_stddev=14.185281887302141	36.0
Nuc-1103505-chr11_105516335_105516499_stddev=18.980252896102307	100.0
Nuc-1108650-chr11_108593581_108593745_stddev=11.452380747835292	81.0
Nuc-1114963-chr11_111911797_111911961_stddev=20.88276718727487	125.0
Nuc-1114992-chr11_111918915_111919079_stddev=18.62362261942341	112.0
Nuc-1115807-chr11_112163945_112164109_stddev=14.409680388158819	158.0
Nuc-1115819-chr11_112166878_112167042_stddev=17.269111795984823	64.0
Nuc-1115821-chr11_112167350_112167514_stddev=17.432409153323842	37.0
Nuc-1118460-chr11_113393669_113393833_stddev=18.833318283059427	38.0
Nuc-1119425-chr11_113693009_113693173_stddev=17.995464281142556	46.0
Nuc-1121325-chr11_114295302_114295466_stddev=10.559356040971437	85.0
Nuc-1129303-chr11_117829232_117829396_stddev=26.799020504488592	80.0
Nuc-1130677-chr11_118214096_118214260_stddev=13.013614665674815	67.0
Nuc-1130790-chr11_118251977_118252141_stddev=8.745844494293696	73.0
Nuc-1130974-chr11_118311200_118311364_stddev=18.068878631503395	72.0
Nuc-1131093-chr11_118344394_118344558_stddev=14.545525568008424	112.0
Nuc-1131732-chr11_118526348_118526512_stddev=13.406051701460136	66.0
Nuc-1131878-chr11_118565857_118566021_stddev=14.235704177788326	136.0
Nuc-1133433-chr11_118979517_118979681_stddev=22.940072222646705	139.0
Nuc-925181-chr11_11979824_11979988_stddev=15.489638113554781	84.0
Nuc-1137136-chr11_120124930_120125094_stddev=11.120351713062957	57.0
Nuc-1137475-chr11_120236622_120236786_stddev=12.819890164458323	105.0
Nuc-1139704-chr11_121102692_121102856_stddev=8.672369918309528	35.0
Nuc-1144855-chr11_124249706_124249870_stddev=20.625425165685826	110.0
Nuc-1145008-chr11_124314940_124315104_stddev=21.310534692702785	39.0
Nuc-1146926-chr11_125063842_125064006_stddev=6.872726896945637	67.0
Nuc-1151102-chr11_126440766_126440930_stddev=13.480319293861806	77.0
Nuc-896879-chr11_1486649_1486813_stddev=22.73460407005634	58.0
Nuc-897200-chr11_1750484_1750648_stddev=19.466317063070765	53.0
Nuc-897613-chr11_1876604_1876768_stddev=10.177589760514683	43.0
Nuc-949738-chr11_22625988_22626152_stddev=21.53521756247515	117.0
Nuc-899185-chr11_2461439_2461603_stddev=15.315206676880189	37.0
Nuc-956722-chr11_31370084_31370248_stddev=21.138574206192324	108.0
Nuc-902682-chr11_3645115_3645279_stddev=17.75736747727522	108.0
Nuc-971115-chr11_36598089_36598253_stddev=18.926759422104517	50.0
Nuc-894236-chr11_441865_442029_stddev=19.93701018207093	60.0
Nuc-979674-chr11_44726370_44726534_stddev=25.35823337695274	90.0
Nuc-983070-chr11_45906685_45906849_stddev=19.700222471639727	47.0
Nuc-984501-chr11_46277538_46277702_stddev=21.17923511366735	54.0
Nuc-986233-chr11_46718284_46718448_stddev=14.490560077545199	64.0
Nuc-988448-chr11_47353104_47353268_stddev=15.915433957711732	67.0
Nuc-989357-chr11_47586546_47586710_stddev=26.9705394829247	62.0
Nuc-907273-chr11_5250694_5250858_stddev=16.913374063805904	126.0
Nuc-907469-chr11_5301237_5301401_stddev=19.404721329525533	63.0
Nuc-907547-chr11_5325190_5325354_stddev=6.786915516066353	48.0
Nuc-907916-chr11_5440496_5440660_stddev=21.15259082867704	60.0
Nuc-908156-chr11_5505487_5505651_stddev=16.506183133379235	116.0
Nuc-908589-chr11_5625009_5625173_stddev=18.772541237090675	135.0
Nuc-908756-chr11_5684890_5685054_stddev=17.797257717734727	250.0
Nuc-908777-chr11_5690904_5691068_stddev=15.429166263853439	85.0
Nuc-998054-chr11_57237207_57237371_stddev=17.756845315414434	65.0
Nuc-998629-chr11_57391141_57391305_stddev=17.684450681838193	73.0
Nuc-998767-chr11_57424782_57424946_stddev=20.172099054062606	54.0
Nuc-1001643-chr11_58623268_58623432_stddev=12.723556455994878	47.0
Nuc-1003461-chr11_59511101_59511265_stddev=15.515656961831091	175.0
Nuc-1004641-chr11_59866455_59866619_stddev=13.141019387115461	79.0
Nuc-1004808-chr11_59938924_59939088_stddev=11.434292962643365	48.0
Nuc-1005148-chr11_60056556_60056720_stddev=23.05096394460566	56.0
Nuc-1005520-chr11_60184478_60184642_stddev=20.826905675111703	86.0
Nuc-1005525-chr11_60185880_60186044_stddev=22.10598462437305	81.0
Nuc-1009137-chr11_61489098_61489262_stddev=18.15547580690597	83.0
Nuc-1010876-chr11_61949839_61950003_stddev=22.12455861141641	95.0
Nuc-1011839-chr11_62208659_62208823_stddev=12.934063553268942	66.0
Nuc-1012522-chr11_62418377_62418541_stddev=23.742071316825392	95.0
Nuc-1013632-chr11_62689102_62689266_stddev=19.595917942265423	106.0
Nuc-1014176-chr11_62832674_62832838_stddev=17.62429951551562	144.0
Nuc-1015944-chr11_63536857_63537021_stddev=22.044500447957535	113.0
Nuc-1017354-chr11_63917101_63917265_stddev=10.617899788487708	56.0
Nuc-1018808-chr11_64290594_64290758_stddev=23.29103308619483	41.0
Nuc-1019762-chr11_64555871_64556035_stddev=13.419254408829461	60.0
Nuc-910849-chr11_6507835_6507999_stddev=13.629851546718898	99.0
Nuc-1023819-chr11_65596142_65596306_stddev=25.500769717762388	111.0
Nuc-1025385-chr11_66021147_66021311_stddev=16.591121303951972	48.0
Nuc-1025477-chr11_66045084_66045248_stddev=17.418809676770557	202.0
Nuc-1026481-chr11_66317758_66317922_stddev=14.185281887302143	63.0
Nuc-1027173-chr11_66509028_66509192_stddev=18.550314008707264	149.0
Nuc-1029051-chr11_67006768_67006932_stddev=15.00358083980384	87.0
Nuc-1030189-chr11_67312330_67312494_stddev=20.845427699034595	190.0
Nuc-1030547-chr11_67403767_67403931_stddev=22.111390282994723	147.0
Nuc-1030695-chr11_67437972_67438136_stddev=12.86683937707919	55.0
Nuc-911801-chr11_6769736_6769900_stddev=7.737993487324511	42.0
Nuc-1032680-chr11_68010285_68010449_stddev=21.13258174814793	108.0
Nuc-912076-chr11_6892031_6892195_stddev=22.436793938132563	60.0
Nuc-1036580-chr11_69155501_69155665_stddev=10.855106325289187	76.0
Nuc-1036925-chr11_69294143_69294307_stddev=16.8803581795857	153.0
Nuc-1041203-chr11_70660454_70660618_stddev=11.478240283248997	38.0
Nuc-1044974-chr11_72114090_72114254_stddev=19.05620342274108	73.0
Nuc-1045261-chr11_72192136_72192300_stddev=24.700243740018568	77.0
Nuc-1055069-chr11_75100527_75100691_stddev=20.14971399144166	147.0
Nuc-1060504-chr11_76665307_76665471_stddev=13.65997955058184	78.0
Nuc-1061832-chr11_77034275_77034439_stddev=18.041341413542398	82.0
Nuc-1064869-chr11_78046124_78046288_stddev=19.545160874484186	168.0
Nuc-1064943-chr11_78063819_78063983_stddev=20.602283408220874	65.0
Nuc-914961-chr11_8455612_8455776_stddev=20.12187863992823	38.0
Nuc-1074273-chr11_85686117_85686281_stddev=13.523641850067197	37.0
Nuc-1078079-chr11_86940304_86940468_stddev=22.332361608213315	126.0
Nuc-916179-chr11_8932933_8933097_stddev=21.452576016681057	87.0
Nuc-1088142-chr11_94401774_94401938_stddev=29.44344862047696	28.0
Nuc-1093932-chr11_96343037_96343201_stddev=19.36605338391483	402.0
Nuc-1339905-chr12_100988076_100988240_stddev=21.245887957485817	18.0
Nuc-1343588-chr12_102480524_102480688_stddev=14.761059883656353	29.0
Nuc-1183884-chr12_10392434_10392598_stddev=19.942893678312153	56.0
Nuc-1347192-chr12_104304343_104304507_stddev=19.728405916343064	62.0
Nuc-1353092-chr12_106601143_106601307_stddev=13.800161029656302	41.0
Nuc-1357652-chr12_108339258_108339422_stddev=12.830018511288282	105.0
Nuc-1358575-chr12_108633743_108633907_stddev=21.451380194461258	156.0
Nuc-1360819-chr12_109347079_109347243_stddev=12.514366743866827	62.0
Nuc-1361172-chr12_109477137_109477301_stddev=16.80991442989809	202.0
Nuc-1365409-chr12_110689677_110689841_stddev=23.072831546118383	119.0
Nuc-1368769-chr12_111753744_111753908_stddev=13.60134330837905	96.0
Nuc-1374120-chr12_113404083_113404247_stddev=22.1177283150231	168.0
Nuc-1382479-chr12_116558541_116558705_stddev=10.470009252622464	107.0
Nuc-1386326-chr12_117968874_117969038_stddev=7.8943642970362715	43.0
Nuc-1389264-chr12_119180493_119180657_stddev=22.609950830181166	41.0
Nuc-1392930-chr12_120438727_120438891_stddev=20.253638600093808	98.0
Nuc-1395420-chr12_121132875_121133039_stddev=19.12899284716628	73.0
Nuc-1401528-chr12_122775135_122775299_stddev=17.822457742971366	49.0
Nuc-1419265-chr12_130953922_130954086_stddev=25.073226092121985	88.0
Nuc-1190134-chr12_14961505_14961669_stddev=13.174839235789136	63.0
Nuc-1191385-chr12_18319975_18320139_stddev=14.807242750418542	41.0
Nuc-1168617-chr12_1917713_1917877_stddev=17.367574760490434	47.0
Nuc-1200921-chr12_25052543_25052707_stddev=26.70702727977131	55.0
Nuc-1169658-chr12_2640947_2641111_stddev=22.338230453471184	84.0
Nuc-1206078-chr12_27524177_27524341_stddev=15.69257532769	137.0
Nuc-1206472-chr12_27696501_27696665_stddev=25.14924203629207	41.0
Nuc-1170077-chr12_2856780_2856944_stddev=13.016473079470162	30.0
Nuc-1214800-chr12_31659480_31659644_stddev=20.82468703312731	208.0
Nuc-1215018-chr12_31728659_31728823_stddev=24.55295297922431	171.0
Nuc-1227522-chr12_39626142_39626306_stddev=24.191617866525586	75.0
Nuc-1173163-chr12_4604918_4605082_stddev=18.838374498387502	107.0
Nuc-1240885-chr12_47725821_47725985_stddev=12.740486646906389	112.0
Nuc-1244649-chr12_48904153_48904317_stddev=17.627314662824347	65.0
Nuc-1244781-chr12_48940584_48940748_stddev=22.796461105649687	75.0
Nuc-1244914-chr12_48971630_48971794_stddev=21.224985276791124	79.0
Nuc-1248633-chr12_49967211_49967375_stddev=22.91022407893338	213.0
Nuc-1249176-chr12_50103882_50104046_stddev=17.036521228101574	105.0
Nuc-1249886-chr12_50284459_50284623_stddev=25.189891072509585	49.0
Nuc-1250293-chr12_50396586_50396750_stddev=23.48060567735012	70.0
Nuc-1252066-chr12_50924508_50924672_stddev=2.8491698080390573	69.0
Nuc-1253126-chr12_51218355_51218519_stddev=24.03700850309326	133.0
Nuc-1253635-chr12_51345738_51345902_stddev=16.727596958320103	97.0
Nuc-1255184-chr12_51912201_51912365_stddev=22.751541773278237	107.0
Nuc-1255829-chr12_52079306_52079470_stddev=19.622976952791742	34.0
Nuc-1258076-chr12_52834253_52834417_stddev=11.239810200058244	37.0
Nuc-1259663-chr12_53241846_53242010_stddev=22.98632405910088	93.0
Nuc-1260373-chr12_53424994_53425158_stddev=18.252743074885633	77.0
Nuc-1261477-chr12_53727292_53727456_stddev=21.40760879420479	123.0
Nuc-1262051-chr12_53938553_53938717_stddev=18.20018993253221	60.0
Nuc-1262337-chr12_54017376_54017540_stddev=12.018905176123699	87.0
Nuc-1262395-chr12_54032111_54032275_stddev=21.243587267690927	68.0
Nuc-1263723-chr12_54364818_54364982_stddev=20.29008378494283	76.0
Nuc-1263831-chr12_54391163_54391327_stddev=19.67866865415443	84.0
Nuc-1264247-chr12_54497646_54497810_stddev=18.73999733191016	92.0
Nuc-1265451-chr12_54984702_54984866_stddev=12.88403135237139	104.0
Nuc-1266943-chr12_55722345_55722509_stddev=21.071307505705477	74.0
Nuc-1268401-chr12_56101952_56102116_stddev=22.7389802869389	53.0
Nuc-1268611-chr12_56151825_56151989_stddev=17.91024454060112	134.0
Nuc-1268921-chr12_56230120_56230284_stddev=17.518244457961217	70.0
Nuc-1270043-chr12_56521702_56521866_stddev=17.420454133639062	56.0
Nuc-1271425-chr12_56934355_56934519_stddev=23.876741097396412	70.0
Nuc-1271888-chr12_57051819_57051983_stddev=19.015344680897407	52.0
Nuc-1273367-chr12_57434679_57434843_stddev=15.237239559308472	175.0
Nuc-1273454-chr12_57455197_57455361_stddev=23.695022296521543	106.0
Nuc-1273701-chr12_57519842_57520006_stddev=18.414081632459	156.0
Nuc-1274680-chr12_57782682_57782846_stddev=24.109126902482387	24.0
Nuc-1274799-chr12_57817663_57817827_stddev=15.117719885798074	100.0
Nuc-1175818-chr12_6341862_6342026_stddev=23.91454213326668	124.0
Nuc-1176277-chr12_6493670_6493834_stddev=18.129922821372304	139.0
Nuc-1176472-chr12_6556965_6557129_stddev=20.7047699818182	35.0
Nuc-1176701-chr12_6635806_6635970_stddev=18.124160866108856	94.0
Nuc-1176714-chr12_6639155_6639319_stddev=14.008773918222518	119.0
Nuc-1176901-chr12_6697822_6697986_stddev=26.88039351563804	54.0
Nuc-1177424-chr12_6851467_6851631_stddev=19.702474463883973	111.0
Nuc-1177601-chr12_6904880_6905044_stddev=19.260639195577653	143.0
Nuc-1293889-chr12_69348228_69348392_stddev=24.569012264158353	98.0
Nuc-1177744-chr12_6946434_6946598_stddev=29.43203863070283	37.0
