accession	dataset	biosample_name	target_name	assay_term_name	assembly	output_type	file_format	file_format_type	derived_from
ENCFF206HJJ	/experiments/ENCSR715CCR/	K562	DPF2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF994IZJ/|/files/ENCFF023VOJ/|/files/ENCFF001TDO/|/files/ENCFF577FLU/
ENCFF144VBS	/experiments/ENCSR101FJS/	HepG2	TBL1XR1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF924XCI/|/files/ENCFF824GTA/|/files/ENCFF342PPK/
ENCFF506GGI	/experiments/ENCSR066FXN/	HepG2	HNRNPH1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF061XHO/|/files/ENCFF001TDO/|/files/ENCFF945SAK/|/files/ENCFF043LEZ/
ENCFF739UMP	/experiments/ENCSR657EOF/	K562	NFRKB	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF674FOQ/|/files/ENCFF338NAH/|/files/ENCFF001TDO/|/files/ENCFF235FNK/
ENCFF786OZJ	/experiments/ENCSR656JZL/	HepG2	HHEX	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF317NTX/|/files/ENCFF001TDO/|/files/ENCFF951JQE/|/files/ENCFF778JVV/
ENCFF320ZVD	/experiments/ENCSR314BBS/	K562	PTTG1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF069PPO/|/files/ENCFF001TDO/|/files/ENCFF981LHO/|/files/ENCFF351JUL/
ENCFF152WSS	/experiments/ENCSR931HNY/	K562	NCOA1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF633IWB/|/files/ENCFF786SHU/|/files/ENCFF428HHR/
ENCFF819GCB	/experiments/ENCSR000EHE/	K562	CEBPB	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF143EHM/|/files/ENCFF001TDO/|/files/ENCFF206BMO/|/files/ENCFF755NTM/
ENCFF359EYT	/experiments/ENCSR000BPF/	A549	TAF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF606JSI/|/files/ENCFF515ZED/|/files/ENCFF371XXQ/
ENCFF100JMN	/experiments/ENCSR000BKU/	K562	YY1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF897DAT/|/files/ENCFF001TDO/|/files/ENCFF608RBZ/|/files/ENCFF475ICG/
ENCFF287WLC	/experiments/ENCSR519WMW/	K562	SMARCC2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF036DTR/|/files/ENCFF947YAZ/|/files/ENCFF620PQN/|/files/ENCFF001TDO/
ENCFF906BNB	/experiments/ENCSR474CVP/	K562	TRIM28	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF021ITV/|/files/ENCFF481CBF/|/files/ENCFF774YSI/
ENCFF700YSH	/experiments/ENCSR000BNM/	K562	TAF7	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF070BNL/|/files/ENCFF611EGN/|/files/ENCFF001TDO/|/files/ENCFF271GZS/
ENCFF761RFH	/experiments/ENCSR850WUE/	K562	RBM15	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF764ZHV/|/files/ENCFF325TSC/|/files/ENCFF212ABS/
ENCFF049NZU	/experiments/ENCSR000BMH/	K562	YY1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF720DVS/|/files/ENCFF001TDO/|/files/ENCFF223XFI/|/files/ENCFF701OSU/
ENCFF920FBS	/experiments/ENCSR506KWJ/	K562	XRCC5	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF245CYX/|/files/ENCFF001TDO/|/files/ENCFF755KRH/|/files/ENCFF720UBT/
ENCFF112IQR	/experiments/ENCSR000BPS/	A549	ATF3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF247OWV/|/files/ENCFF556COW/|/files/ENCFF001TDO/|/files/ENCFF524QEN/
ENCFF970WJK	/experiments/ENCSR603REQ/	K562	PCBP2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF016WHL/|/files/ENCFF554MYS/|/files/ENCFF467EXO/
ENCFF823SRC	/experiments/ENCSR000BRS/	K562	NR2F2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF952DON/|/files/ENCFF001TDO/|/files/ENCFF829WNA/|/files/ENCFF622IDZ/
ENCFF681OMH	/experiments/ENCSR000BPJ/	K562	CTCF	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF235AXH/|/files/ENCFF001TDO/|/files/ENCFF443OXB/|/files/ENCFF815GMT/
ENCFF820BLL	/experiments/ENCSR632DCH/	K562	ATF3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF303DKR/|/files/ENCFF281ART/|/files/ENCFF435TZX/
ENCFF517QVD	/experiments/ENCSR892DRK/	A549	REST	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF819QEC/|/files/ENCFF767OVA/|/files/ENCFF430GOT/
ENCFF589JZW	/experiments/ENCSR639GWS/	A549	KDM1A	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF541ESI/|/files/ENCFF592JBH/|/files/ENCFF302BCZ/
ENCFF105NJB	/experiments/ENCSR000BHP/	HepG2	FOSL2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF620ZIR/|/files/ENCFF661ITW/|/files/ENCFF001TDO/|/files/ENCFF449NJO/
ENCFF478NLQ	/experiments/ENCSR247XFV/	HepG2	CCAR2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF172AES/|/files/ENCFF001TDO/|/files/ENCFF929NFJ/|/files/ENCFF013SWZ/
ENCFF895XWC	/experiments/ENCSR000BRL/	A549	SIX5	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF838ZHL/|/files/ENCFF001TDO/|/files/ENCFF974EOM/|/files/ENCFF026LZC/
ENCFF796XFQ	/experiments/ENCSR000EGC/	K562	RCOR1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF959MXK/|/files/ENCFF620JKI/|/files/ENCFF477PXF/|/files/ENCFF001TDO/
ENCFF733YFT	/experiments/ENCSR854JES/	HepG2	POLR2G	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF559FAT/|/files/ENCFF181QCC/|/files/ENCFF316BHA/
ENCFF623DYE	/experiments/ENCSR156APP/	HepG2	PTBP1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF673SKG/|/files/ENCFF001TDO/|/files/ENCFF694HVC/|/files/ENCFF129THB/
ENCFF010SPN	/experiments/ENCSR000EFO/	K562	CUX1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF599SPU/|/files/ENCFF001TDO/|/files/ENCFF675GZY/|/files/ENCFF725FYI/
ENCFF942TIQ	/experiments/ENCSR961WLZ/	HepG2	SOX5	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF239SHG/|/files/ENCFF001TDO/|/files/ENCFF293RSJ/|/files/ENCFF473FUG/
ENCFF387FGQ	/experiments/ENCSR000BGW/	K562	SPI1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF087VGU/|/files/ENCFF856TDE/|/files/ENCFF507MNQ/|/files/ENCFF001TDO/
ENCFF754GUJ	/experiments/ENCSR702BYX/	MCF-7	NFIB	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF081YIR/|/files/ENCFF833GDZ/|/files/ENCFF001TDO/|/files/ENCFF921PXY/
ENCFF869BQV	/experiments/ENCSR429QPP/	K562	FOXM1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF847FHY/|/files/ENCFF001TDO/|/files/ENCFF805KEB/|/files/ENCFF804EPQ/
ENCFF581HPR	/experiments/ENCSR550HCT/	K562	KLF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF830SMA/|/files/ENCFF001TDO/|/files/ENCFF842XXA/|/files/ENCFF255LGM/
ENCFF459GME	/experiments/ENCSR093FKD/	K562	CREB3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF328JKG/|/files/ENCFF572YZB/|/files/ENCFF313HJO/|/files/ENCFF001TDO/
ENCFF783XXC	/experiments/ENCSR563FBT/	A549	USF2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF228YLF/|/files/ENCFF664JOM/|/files/ENCFF001TDO/|/files/ENCFF735LLC/
ENCFF219YST	/experiments/ENCSR415TXN/	K562	NONO	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF609LOZ/|/files/ENCFF001TDO/|/files/ENCFF028TZK/|/files/ENCFF882WGE/
ENCFF018SRT	/experiments/ENCSR382AIB/	K562	DDX20	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF316SRU/|/files/ENCFF001TDO/|/files/ENCFF523JZB/|/files/ENCFF667SBT/
ENCFF884VNW	/experiments/ENCSR000EGS/	K562	MYC	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF859MQB/|/files/ENCFF199SKV/|/files/ENCFF001TDO/|/files/ENCFF357NBU/
ENCFF327PCB	/experiments/ENCSR487LUQ/	HepG2	PHF8	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF291RVB/|/files/ENCFF001TDO/|/files/ENCFF723MLM/|/files/ENCFF134YYB/
ENCFF419FNX	/experiments/ENCSR091JXL/	K562	HES1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF222PPL/|/files/ENCFF001TDO/|/files/ENCFF786MKH/|/files/ENCFF860KMP/
ENCFF853VOT	/experiments/ENCSR115SMW/	K562	PKNOX1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF279KYF/|/files/ENCFF572VXK/|/files/ENCFF967UHQ/
ENCFF330CLZ	/experiments/ENCSR000BJX/	HepG2	SP1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF121SXP/|/files/ENCFF740QPT/|/files/ENCFF420CVJ/
ENCFF015AWN	/experiments/ENCSR099NCH/	K562	ZNF24	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF716AIG/|/files/ENCFF001TDO/|/files/ENCFF131ZOO/|/files/ENCFF877PNB/
ENCFF526HFA	/experiments/ENCSR135ANT/	MCF-7	NRF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF187EXP/|/files/ENCFF466LLW/|/files/ENCFF444PKI/|/files/ENCFF001TDO/
ENCFF807MUP	/experiments/ENCSR876UYH/	MCF-7	ZHX2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF487NKY/|/files/ENCFF001TDO/|/files/ENCFF386GSB/|/files/ENCFF128RLF/
ENCFF697DZC	/experiments/ENCSR820GND/	K562	RNF2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF232HEV/|/files/ENCFF696NDZ/|/files/ENCFF001TDO/|/files/ENCFF813HMN/
ENCFF511GKD	/experiments/ENCSR671GFC/	K562	TAF7	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF963EUU/|/files/ENCFF827LZB/|/files/ENCFF001TDO/|/files/ENCFF869TGI/
ENCFF550NJW	/experiments/ENCSR803EKW/	K562	NCOA2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF809LWB/|/files/ENCFF208GKL/|/files/ENCFF676OHT/
ENCFF438HPL	/experiments/ENCSR848YWD/	HepG2	ZMYM3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF575WAU/|/files/ENCFF629JUA/|/files/ENCFF136ODS/
ENCFF078SJN	/experiments/ENCSR970NKQ/	K562	NR2F1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF224GWU/|/files/ENCFF359OAZ/|/files/ENCFF035WWJ/
ENCFF879REQ	/experiments/ENCSR000DKA/	K562	GATA2	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF185LGX/|/files/ENCFF444LYN/|/files/ENCFF766MMM/
ENCFF613NZO	/experiments/ENCSR000EFZ/	K562	UBTF	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF512HLJ/|/files/ENCFF001TDO/|/files/ENCFF507ZLI/|/files/ENCFF621XGL/
ENCFF734IEM	/experiments/ENCSR851XLW/	K562	ZNF830	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF350ETZ/|/files/ENCFF263GIU/|/files/ENCFF551KDQ/
ENCFF444IOW	/experiments/ENCSR000AHD/	MCF-7	CTCF	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF762LDF/|/files/ENCFF664CSQ/|/files/ENCFF768KKE/|/files/ENCFF001TDO/
ENCFF758SJG	/experiments/ENCSR168CEE/	K562	NCOA6	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF647EHE/|/files/ENCFF520CHA/|/files/ENCFF558GGF/
ENCFF177IRJ	/experiments/ENCSR933MHJ/	A549	KDM5A	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF881TQQ/|/files/ENCFF129CAN/|/files/ENCFF153JBF/
ENCFF948LKX	/experiments/ENCSR159OCC/	K562	ATF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF189NGD/|/files/ENCFF089SHU/|/files/ENCFF624BVW/
ENCFF593SAN	/experiments/ENCSR703TNG/	MCF-7	RAD21	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF374VVK/|/files/ENCFF448WRI/|/files/ENCFF466TRI/
ENCFF784MAU	/experiments/ENCSR000DMQ/	MCF-7	MYC	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF787DCF/|/files/ENCFF153LKX/|/files/ENCFF819JEC/
ENCFF324OAJ	/experiments/ENCSR267DFA/	HepG2	FOXA1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF549YDX/|/files/ENCFF432MIZ/|/files/ENCFF400BJI/
ENCFF510ZUJ	/experiments/ENCSR707QWA/	K562	NR2F6	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF134OVY/|/files/ENCFF604XWK/|/files/ENCFF106WRW/
ENCFF808CFK	/experiments/ENCSR124BJR/	K562	ETV6	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF611XPF/|/files/ENCFF315GZR/|/files/ENCFF558BWS/
ENCFF097NFL	/experiments/ENCSR473SUA/	A549	ESRRA	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF705XME/|/files/ENCFF804JRA/|/files/ENCFF391VQJ/
ENCFF031SZJ	/experiments/ENCSR897ZXU/	MCF-7	E2F8	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF093MAU/|/files/ENCFF262ETY/|/files/ENCFF226PXS/
ENCFF178NBS	/experiments/ENCSR000EFT/	K562	GATA1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF234GQW/|/files/ENCFF916MQB/|/files/ENCFF253DCO/
ENCFF776UTN	/experiments/ENCSR647ZXA/	K562	MEF2D	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF345KFF/|/files/ENCFF369MAB/|/files/ENCFF170VIW/
ENCFF222YCT	/experiments/ENCSR000BLF/	HepG2	HNF4A	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF277KXQ/|/files/ENCFF176XYE/|/files/ENCFF167THE/
ENCFF962DEO	/experiments/ENCSR000BGM/	HepG2	USF1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF308DEQ/|/files/ENCFF001TDO/|/files/ENCFF316GUJ/|/files/ENCFF805TIZ/
ENCFF997JHM	/experiments/ENCSR987PBI/	K562	DNMT1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF904JFG/|/files/ENCFF958LLL/|/files/ENCFF940ADN/
ENCFF914THM	/experiments/ENCSR950NAZ/	HepG2	LCORL	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF861MQX/|/files/ENCFF215PIH/|/files/ENCFF055OAG/
ENCFF605QGJ	/experiments/ENCSR990AZC/	K562	MCM3	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF530ETK/|/files/ENCFF262RPX/|/files/ENCFF260MCD/
ENCFF117ZRT	/experiments/ENCSR210ZYL/	HepG2	NBN	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF084RKF/|/files/ENCFF904SKF/|/files/ENCFF860QPW/
ENCFF547KFA	/experiments/ENCSR819LHG/	K562	FOXA1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF113ZZY/|/files/ENCFF996FCB/|/files/ENCFF837QWL/
ENCFF811CMJ	/experiments/ENCSR000BLW/	HepG2	EP300	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF906ESV/|/files/ENCFF908HDQ/|/files/ENCFF397JOR/|/files/ENCFF001TDO/
ENCFF695HJW	/experiments/ENCSR986XYK/	MCF-7	PKNOX1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF648CSH/|/files/ENCFF117BUH/|/files/ENCFF687IUI/
ENCFF062BMU	/experiments/ENCSR298JCG/	K562	NCOR1	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF380AQD/|/files/ENCFF053IVE/|/files/ENCFF269ZNE/
ENCFF569VYO	/experiments/ENCSR000EDZ/	HepG2	MAFK	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF227YDJ/|/files/ENCFF700LQD/|/files/ENCFF422YLS/
ENCFF139NXQ	/experiments/ENCSR683CSF/	HepG2	ZNF207	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF459AGI/|/files/ENCFF369GTZ/|/files/ENCFF694FNL/
ENCFF845UBO	/experiments/ENCSR031TFS/	K562	POLR2A	ChIP-seq	hg19	conservative IDR thresholded peaks	bed	narrowPeak	/files/ENCFF001TDO/|/files/ENCFF612BZJ/|/files/ENCFF670NDN/|/files/ENCFF763UDO/
